pc Cor Bias Trait
0 0.262011841515305 1.42404676670233 AMiDintake
6 0.125667053481195 0.572828895723145 AMiDintake
18 0.117573622151448 0.410131828422385 AMiDintake
74 0.187981427108388 0.837745005920249 AMiDintake
111 0.202793344946314 0.993400123570683 AMiDintake
299 0.218432934159067 1.31522972127467 AMiDintake
600 0.227489286082368 1.42111061215504 AMiDintake
889 0.216310668148617 1.20086627507994 AMiDintake
0 0.0650142028545516 0.359204046244201 CO2
6 0.018398248885241 0.567141447624757 CO2
20 0.0359566749641459 0.47002488941224 CO2
88 0.0840037115212804 1.38352465975141 CO2
130 0.0708617323017923 1.17562560577463 CO2
333 0.0223322269422737 0.363444371085408 CO2
640 0.0453270864139368 0.799933494677745 CO2
0 0.113672885578851 0.776125478192881 Methane
20 0.246399724977352 1.28202742000645 Methane
88 0.300986812200331 1.69703014440081 Methane
130 0.301532547538212 1.57316320848103 Methane
333 0.230027253485195 0.903880749691786 Methane
640 0.0513504760600395 0.0920790465751758 Methane
933 0.0555570111948428 0.0805416972677667 Methane
0 0.0830763173461278 0.550587108964451 MethaneRatio
6 0.159467487859098 1.52174118224349 MethaneRatio
20 0.210338753066105 1.27781352973514 MethaneRatio
88 0.215818949311991 1.15994515513808 MethaneRatio
130 0.191731194312988 0.897827477724518 MethaneRatio
333 0.101853438453562 0.394783384118375 MethaneRatio
640 0.0247168232818088 0.0065697224532326 MethaneRatio
933 0.0147728425504401 0.000164531431277101 MethaneRatio
0 0.298355165600876 2.0787953448679 RFI
6 0.289309391229256 2.38930750411149 RFI
18 0.303366418191367 1.76858745867218 RFI
74 0.373691824371113 2.40433839922566 RFI
111 0.382156825422444 2.57714101023145 RFI
299 0.379657349901208 2.80473881404176 RFI
600 0.387388071774242 2.96435184108706 RFI
889 0.395940456155523 2.90853705153328 RFI
0 0.197143838783014 1.30673793330644 LWT
6 0.182653831937417 2.86325997911702 LWT
20 0.209884824096253 1.54129459108613 LWT
88 0.213870485479545 1.3036791496349 LWT
130 0.185926084612736 0.90660674213842 LWT
333 0.122283410386329 0.484908567646856 LWT
640 0.123460215254376 0.30879330102143 LWT
933 0.212668653605862 0.636913572567295 LWT
