"PC_Count","Trait","Accuracy","SE_Accuracy","Bias","SE_Bias"
102,"ALWT",0.193863793192414,0.0506535173520552,0.970371768133586,0.259164687774685
346,"ALWT",0.108999008498849,0.0520062745340141,0.411856271372254,0.198235113722514
648,"ALWT",0.0733368760962642,0.0523485106633916,0.181703463118702,0.130413496685596
83,"AMidIntake",0.201667590868325,0.0482081555513433,1.03339906046837,0.252852874711803
310,"AMidIntake",0.218671891626508,0.0478489761931764,1.42262203866448,0.31982218125978
606,"AMidIntake",0.227454341717114,0.0476520851957461,1.50865390415742,0.325395865266836
83,"ARFI",0.38452930722389,0.0428215060867448,2.66287314875121,0.322053250937738
310,"ARFI",0.388261434245502,0.0426765719347782,3.06000527459741,0.365905021459689
606,"ARFI",0.400044822417732,0.0422097862109367,3.29464105424403,0.38026093675303
102,"AScCH4",0.282442192431076,0.0484329688386698,1.51212614187646,0.271055715571375
346,"AScCH4",0.192079280484964,0.0506897657899147,0.700533314817812,0.188902624522981
102,"AScCH4Ratio",0.181301122679377,0.050901573837642,0.878039713373023,0.251367338832449
346,"AScCH4Ratio",0.0797906010846195,0.0522964978936082,0.268552700433707,0.17706946152578
648,"AScCH4Ratio",-0.0082623074563015,0.0526279860144999,-0.00110610947435067,0.00706536677787167
102,"AScCO2",0.0937722446452422,0.0521687771649575,1.59365456160562,0.893006834956463
346,"AScCO2",0.0233948477485366,0.0526027726894117,0.411868602368388,0.928907260064485
